run_id,issue,template,impl_model,design_model,impl_segment,wall_s,founder_gate_s,net_s,noisy
f634fbc3-c649-4c8e-9eb2-4db98618a0c2,FLY-2755,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,13198.0,10633.021,2564.9789999999994,False
eac6b4cc-8e90-48fc-97b4-e2ba7c9f3fc2,FLY-2654,tpl_simple_code,claude/claude-fable-5-1/high,,O,151210.0,38967.385,112210.742,True
3705ccbb-4976-49b9-9a67-a6ebd6a56b39,FLY-2758,tpl_simple_code,claude/claude-fable-5-1/high,,O,13408.0,4365.292,9042.707999999999,False
f8bd1b21-6ab2-4baf-a2a9-a93d5473bf71,FLY-2547,tpl_simple_code,claude/claude-opus-5/high,,O,30974.0,23697.108,7276.892,False
84ac31cc-ca18-4e43-8e81-3acd275f28dd,FLY-2701,tpl_simple_code,claude/claude-opus-5/high,,O,41644.0,484.093,26873.94,False
684a8a80-c803-4830-af36-ca97b3252172,FLY-2776,tpl_simple_code,claude/claude-opus-5/high,,O,10382.0,1143.627,9223.611,False
bb4b1c33-6fc3-42f1-9df5-63e9160f96c4,FLY-2781,tpl_generic_menu,,,,3053.0,1561.9869999999999,1491.0130000000001,False
feea9dcf-dd79-4807-ac61-ec93c58b50bc,FLY-2786,tpl_generic_menu,,,,8642.0,5333.3150000000005,3308.6849999999995,False
bb420d3b-1d81-465e-b3da-c4809b8c7b26,FLY-2791,tpl_generic_menu,,,,5392.0,1428.664,3963.3360000000002,False
d86374cf-076d-4482-884d-d233c6204de7,FLY-2795,tpl_generic_menu,,,,45035.0,37012.502,8022.498,False
b7852d37-e69f-47d2-ad26-62da604a8813,FLY-2762,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,24919.0,15022.452,2765.723000000002,True
837de386-ca0a-4bb8-8b3c-1973823b9bb7,FLY-2801,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,15114.0,12711.299,2402.700999999999,False
b25aeb38-37c6-4e3d-b32f-5b35b5908f25,FLY-2819,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,8761.0,6746.888,2014.112,False
e365b785-4668-4a7f-aef0-aebe6ca32a51,FLY-2789,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,17743.0,15104.296,2638.7039999999997,False
d9e27cf5-3392-49c7-af3e-4bf623f29a01,FLY-2788,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,89513.0,80238.923,9193.413,True
55865cb9-8dea-464c-9817-7058da59de9d,FLY-2770,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,25304.0,2729.397,22574.603,False
d299fdc9-5515-4070-b8c0-d2db14377dfa,FLY-2774,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,5758.0,723.287,5034.713,False
143327b0-281b-4c53-80f2-64d659fdd152,FLY-2807,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,3777.0,597.921,3179.0789999999997,False
90e86d55-8061-40fd-b640-07a6de4a09e2,FLY-2828,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,30918.0,20870.434,10047.565999999999,False
39755784-e421-4c1a-8195-9a16f54dc0d1,FLY-2775,tpl_simple_code,codex/gpt-5.6-sol/xhigh,,O,5446.0,2902.448,2543.552,False
17b8e451-b9a3-4e7b-845e-1708a14214df,FLY-2797,tpl_generic_menu,,,,3983.0,636.322,3346.678,False
907d80e6-a1d9-4f61-9a84-ef33f0d55112,FLY-2864,tpl_code,claude/claude-opus-5-5/xhigh,claude/claude-opus-5-5/high,R_new,21224.0,2647.537,18560.954,True
22c7f9c7-9db7-43cf-9cfd-365d90564d84,FLY-2761,tpl_simple_code,claude/claude-opus-5-5/xhigh,,R_new,20880.0,389.514,20490.486,False
29bef683-e628-4291-b608-1882a2fec14e,FLY-2760,tpl_code,codex/gpt-5.6-sol/xhigh,claude/claude-fable-5-1/high,R_new,19775.0,362.575,19405.846,True
21883c18-dddc-4345-86e7-6a1c5b8d9664,FLY-2757,tpl_simple_code,claude/claude-opus-5-5/xhigh,,O,67748.0,12145.019,55602.981,False
55409ce7-cdf1-402b-9153-ea933df59d9b,FLY-2867,tpl_simple_code,claude/claude-opus-5-5/xhigh,,O,61682.0,302.228,61378.837,True
953ede7c-b04f-4c83-b29a-996be107c15f,FLY-2829,tpl_simple_code,claude/claude-opus-5-5/xhigh,,O,38535.0,27418.216,11116.784,False
946fe3d7-ff04-43a4-aabc-f0f310802a79,FLY-2869,tpl_simple_code,claude/claude-opus-5-5/xhigh,,O,45017.0,29677.829,15339.170999999998,False
556f5bf9-ec7d-4b08-8986-3c603f1d06ef,FLY-2799,tpl_simple_code,claude/claude-opus-5-5/xhigh,,O,51549.0,931.463,50616.679000000004,True
5cce900c-3190-4ebd-948c-94d01a57442f,FLY-2875,tpl_simple_code,claude/claude-opus-5-5/xhigh,,R_new,42422.0,34138.684,8282.949999999997,True
206b034f-6453-4c27-a136-9f8779c1a8ed,FLY-2877,tpl_code,claude/claude-opus-5-5/xhigh,claude/claude-fable-5-1/high,R_new,25260.0,14709.407,10550.593,False
1de91237-c761-49e6-8e18-1c045cf72f58,FLY-2881,tpl_generic_menu,,,,9007.0,7529.697,1477.3029999999999,False
e2eadd27-785e-4e3d-8896-5625541fcb12,FLY-2808,tpl_simple_code,claude/claude-opus-5-5/xhigh,,O,3742.0,364.19,3377.81,False
