Timestamp                       Thread     Type        Activity             PID    TTL  
2026-07-09 01:03:22.005806-0700 0xf136ee6  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:03:22.005812-0700 0xf136ee6  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:11:04.249669-0700 0xf16b792  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:11:04.264138-0700 0xf16b792  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:11:04.264144-0700 0xf16b792  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:11:13.710680-0700 0xf17823f  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:11:13.721507-0700 0xf17823f  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 01:11:13.721512-0700 0xf17823f  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 05:03:13.644380-0700 0xf5ae941  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport persistentApps] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 05:03:13.654145-0700 0xf5ae941  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Container loaded from file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
2026-07-09 05:03:13.654157-0700 0xf5ae941  Default     0x0                  399    5    loginwindow: [com.apple.loginwindow.logging:TAL] -[PersistentAppsSupport setPersistentApps:] | Saving the container to file:///Users/xiaorongli/Library/Group%20Containers/group.com.apple.loginwindow.persistent-apps/persistantApps
