block_id,endpoint,tick,scheduled,start,end,outcome,secs
b1,L1,64,472053.077400,472053.223113,472053.268587,met,0.003519
b1,L2,43,472054.077335,472054.135760,472054.182523,met,0.001203
b1,L1,65,472055.077400,472055.151397,472055.195227,met,0.001548
b1,L2,44,472057.077335,472057.198065,472057.243656,met,0.004061
b1,L1,66,472057.077400,472057.185470,472057.243736,met,0.013270
b1,L1,67,472059.077400,472059.209412,472059.252365,met,0.001373
b1,L2,45,472060.077335,472060.167973,472060.215931,met,0.006081
b1,L1,68,472061.077400,472061.151705,472061.195746,met,0.003365
b1,L1,69,472063.077400,472063.183653,472063.229341,met,0.001817
b1,L2,46,472063.077335,472063.197637,472063.242515,met,0.000894
b1,L1,70,472065.077400,472065.149760,472065.190464,met,0.000885
b1,L2,47,472066.077335,472066.160163,472066.204952,met,0.001496
b1,L1,71,472067.077400,472067.158664,472067.230875,met,0.030138
b1,L2,48,472069.077335,472069.152099,472069.213351,met,0.017369
b1,L1,72,472069.077400,472069.186542,472069.235786,met,0.005999
b1,L1,73,472071.077400,472071.152619,472071.195191,met,0.001503
b1,L2,49,472072.077335,472072.150277,472072.244940,met,0.052023
b1,L1,74,472073.077400,472073.151984,472073.197014,met,0.003272
b1,L1,75,472075.077400,472075.161300,472075.216109,met,0.011157
b1,L2,50,472075.077335,472075.207746,472075.250722,met,0.000774
b1,L1,76,472077.077400,472077.225621,472077.274270,met,0.005367
b1,L2,51,472078.077335,472078.216894,472078.258573,met,0.000868
b1,L1,77,472079.077400,472079.216877,472079.259316,met,0.003257
b1,L2,52,472081.077335,472081.151720,472081.218696,met,0.018569
b1,L1,78,472081.077400,472081.151728,472081.218656,met,0.020243
b1,L1,79,472083.077400,472083.159740,472083.205750,met,0.003797
b1,L2,53,472084.077335,472084.217271,472084.559261,met,0.279980
b1,L1,80,472085.077400,472085.190218,472085.232588,met,0.003418
b1,L1,81,472087.077400,472087.221309,472087.831660,missed,0.538231
b1,L2,54,472087.077335,472087.222470,472088.532305,met,1.250653
b1,L1,82,472089.077400,472089.216780,472089.260113,met,0.001370
b1,L2,55,472090.077335,472090.160020,472090.201879,met,0.001198
b1,L1,83,472091.077400,472091.174799,472091.222863,met,0.001196
b1,L2,56,472093.077335,472093.200646,472093.378008,met,0.124507
b1,L1,84,472093.077400,472093.210050,472093.531169,met,0.276688
b1,L1,85,472095.077400,472095.157417,472095.199396,met,0.000921
b1,L2,57,472096.077335,472096.175906,472096.219430,met,0.001542
b1,L1,86,472097.077400,472097.159693,472097.202494,met,0.001253
b1,L1,87,472099.077400,472099.172827,472099.218533,met,0.004330
b1,L2,58,472099.077335,472099.206900,472099.246549,met,0.001098
b1,L1,88,472101.077400,472101.178157,472101.224032,met,0.002465
b1,L2,59,472102.077335,472102.192799,472102.235167,met,0.001112
b1,L1,89,472103.077400,472103.184413,472103.228725,met,0.001316
b1,L2,60,472105.077335,472105.150828,472105.198113,met,0.001126
b1,L1,90,472105.077400,472105.150880,472105.198602,met,0.003671
b1,L1,91,472107.077400,472107.201992,472107.245353,met,0.003364
b1,L2,61,472108.077335,472108.210343,472108.254055,met,0.001476
b1,L1,92,472109.077400,472109.208198,472109.253681,met,0.005065
b1,L1,93,472111.077400,472111.150731,472111.195291,met,0.003423
b1,L2,62,472111.077335,472111.154930,472111.195804,met,0.001137
b1,L1,94,472113.077400,472113.158131,472113.203835,met,0.004848
b1,L2,63,472114.077335,472114.219448,472114.261725,met,0.001258
b1,L1,95,472115.077400,472115.150404,472115.196423,met,0.004537
b1,L2,64,472117.077335,472117.152370,472117.199002,met,0.001545
b1,L1,96,472117.077400,472117.152302,472117.200608,met,0.004938
b1,L1,97,472119.077400,472119.160783,472119.711647,met,0.496450
b1,L2,65,472120.077335,472120.161237,472120.203299,met,0.001143
b1,L1,98,472121.077400,472121.149210,472121.194915,met,0.001455
b1,L1,99,472123.077400,472123.215097,472123.263709,met,0.003655
b1,L2,66,472123.077335,472123.215097,472123.263879,met,0.004214
b1,L1,100,472125.077400,472125.175871,472125.220974,met,0.001819
b1,L2,67,472126.077335,472126.159624,472126.202748,met,0.001084
b1,L1,101,472127.077400,472127.176629,472127.222349,met,0.002976
b1,L1,102,472129.077400,472129.162409,472129.207313,met,0.003395
b1,L2,68,472129.077335,472129.164964,472129.207408,met,0.002999
b1,L1,103,472131.077400,472131.158682,472131.202256,met,0.003355
b1,L2,69,472132.077335,472132.176018,472132.220424,met,0.001627
b1,L1,104,472133.077400,472133.161581,472133.207164,met,0.004220
b1,L1,105,472135.077400,472135.178806,472135.228209,met,0.003499
b1,L2,70,472135.077335,472135.181666,472135.228207,met,0.004145
b1,L1,106,472137.077400,472137.202024,472137.244310,met,0.001298
b1,L2,71,472138.077335,472138.158982,472138.202516,met,0.001055
b1,L1,107,472139.077400,472139.202810,472139.245432,met,0.003369
b1,L2,72,472141.077335,472141.136506,472141.180090,met,0.001127
b1,L1,108,472141.077400,472141.195724,472141.237876,met,0.003267
b1,L1,109,472143.077400,472143.158251,472143.195868,met,0.001239
b1,L2,73,472144.077335,472144.194572,472144.237953,met,0.001226
b1,L1,110,472145.077400,472145.212844,472145.259651,met,0.005118
b1,L2,74,472147.077335,472147.161221,472147.203243,met,0.001209
b1,L1,111,472147.077400,472147.161222,472147.205223,met,0.003876
b1,L1,112,472149.077400,472149.150581,472149.190669,met,0.001328
b1,L2,75,472150.077335,472150.192405,472150.776646,met,0.530524
b1,L1,113,472151.077400,472151.151320,472151.195096,met,0.003432
b1,L2,76,472153.077335,472153.200759,472153.249030,met,0.001268
b1,L1,114,472153.077400,472153.200549,472153.249200,met,0.001036
b1,L1,115,472155.077400,472155.161615,472155.204682,met,0.001514
b1,L2,77,472156.077335,472156.220210,472156.264160,met,0.001099
b1,L1,116,472157.077400,472157.195989,472157.243461,met,0.005925
b1,L2,78,472159.077335,472159.159608,472159.202553,met,0.001320
b1,L1,117,472159.077400,472159.207178,472159.249167,met,0.001409
b1,L1,118,472161.077400,472161.161181,472161.206909,met,0.002534
b1,L2,79,472162.077335,472162.155749,472162.199091,met,0.001188
b1,L1,119,472163.077400,472163.166149,472163.209699,met,0.001934
b1,L2,80,472165.077335,472165.170433,472165.217925,met,0.001191
b1,L1,120,472165.077400,472165.170122,472165.217929,met,0.001849
b1,L1,121,472167.077400,472167.176122,472167.220784,met,0.003550
b1,L2,81,472168.077335,472168.159225,472168.224981,met,0.015339
b1,L1,122,472169.077400,472169.219560,472169.264024,met,0.003109
b1,L2,82,472171.077335,472171.195119,472171.236550,met,0.001636
b1,L1,123,472171.077400,472171.191020,472171.236551,met,0.003643
b1,L1,124,472173.077400,472173.151013,472173.191912,met,0.003400
b1,L2,83,472174.077335,472174.199685,472174.242731,met,0.001391
b1,L1,125,472175.077400,472175.166902,472175.209816,met,0.003355
b1,L1,126,472177.077400,472177.191759,472177.239330,met,0.003290
b1,L2,84,472177.077335,472177.191730,472177.239183,met,0.003728
b1,L1,127,472179.077400,472179.168213,472179.212282,met,0.003347
b1,L2,85,472180.077335,472180.183072,472180.227367,met,0.001179
b1,L1,128,472181.077400,472181.220038,472181.846797,missed,0.565664
b1,L1,129,472183.077400,472183.152528,472183.195015,met,0.002152
b1,L2,86,472183.077335,472183.150682,472183.194956,met,0.001378
b1,L1,130,472185.077400,472185.207735,472185.249146,met,0.001784
b1,L2,87,472186.077335,472186.209892,472186.252862,met,0.001146
b1,L1,131,472187.077400,472187.210714,472187.257352,met,0.003159
b1,L1,132,472189.077400,472189.147944,472189.192040,met,0.003643
b1,L2,88,472189.077335,472189.169122,472189.209232,met,0.001248
b1,L1,133,472191.077400,472191.193197,472191.235690,met,0.003758
b1,L2,89,472192.077335,472192.223721,472192.263286,met,0.001277
b1,L1,134,472193.077400,472193.150258,472193.192102,met,0.003280
b1,L1,135,472195.077400,472195.165023,472195.215313,met,0.005489
b1,L2,90,472195.077335,472195.206680,472195.247448,met,0.001087
b1,L1,136,472197.077400,472197.215183,472197.256041,met,0.002558
b1,L2,91,472198.077335,472198.218747,472198.261882,met,0.001154
b1,L1,137,472199.077400,472199.212495,472199.253864,met,0.001300
b1,L1,138,472201.077400,472201.167744,472201.220438,met,0.005706
b1,L2,92,472201.077335,472201.167733,472201.220403,met,0.006387
b1,L1,139,472203.077400,472203.177486,472203.224404,met,0.002771
b1,L2,93,472204.077335,472204.206552,472204.249499,met,0.001225
b1,L1,140,472205.077400,472205.181967,472205.226113,met,0.001403
b1,L1,141,472207.077400,472207.150718,472207.202277,met,0.003589
b1,L2,94,472207.077335,472207.182448,472207.228323,met,0.001226
b1,L1,142,472209.077400,472209.175588,472209.222346,met,0.003718
b1,L2,95,472210.077335,472210.213139,472210.256661,met,0.001196
b1,L1,143,472211.077400,472211.175331,472211.219268,met,0.001343
b1,L1,144,472213.077400,472213.158125,472213.442862,met,0.226609
b1,L2,96,472213.077335,472213.151181,472213.443049,met,0.230731
b1,L1,145,472215.077400,472215.224506,472215.269995,met,0.000918
b1,L2,97,472216.077335,472216.173708,472216.216193,met,0.001115
b1,L1,146,472217.077400,472217.225959,472217.270174,met,0.002290
b1,L2,98,472219.077335,472219.176713,472219.220175,met,0.001081
b1,L1,147,472219.077400,472219.188735,472219.233528,met,0.003336
b1,L1,148,472221.077400,472221.166795,472221.212532,met,0.003780
b1,L2,99,472222.077335,472222.168514,472222.211961,met,0.001003
b1,L1,149,472223.077400,472223.147818,472223.193327,met,0.003388
b2,L2,0,472223.580235,472223.646665,472223.699592,met,0.001570
b2,L1,0,472223.580627,472223.646414,472223.699518,met,0.002522
b2,L1,1,472225.580627,472225.675183,472226.230135,met,0.499499
b2,L2,1,472226.580235,472226.735060,472226.775972,met,0.001162
b2,L1,2,472227.580627,472227.656661,472227.700487,met,0.003279
b2,L1,3,472229.580627,472229.650923,472229.693343,met,0.003395
b2,L2,2,472229.580235,472229.701996,472229.742010,met,0.001079
b2,L1,4,472231.580627,472231.683170,472231.722449,met,0.001159
b2,L2,3,472232.580235,472232.708897,472232.750183,met,0.001104
b2,L1,5,472233.580627,472233.656525,472233.697230,met,0.003449
b2,L2,4,472235.580235,472235.667074,472235.711813,met,0.001147
b2,L1,6,472235.580627,472235.671134,472235.712718,met,0.003824
b2,L1,7,472237.580627,472237.665546,472237.710676,met,0.003580
b2,L2,5,472238.580235,472238.658811,472238.701222,met,0.001186
b2,L1,8,472239.580627,472239.666909,472239.708362,met,0.003228
b2,L2,6,472241.580235,472241.679134,472241.722288,met,0.001166
b2,L1,9,472241.580627,472241.746657,472241.790719,met,0.003386
b2,L1,10,472243.580627,472243.658861,472244.365899,missed,0.645431
b2,L2,7,472244.580235,472244.712068,472244.756176,met,0.000931
b2,L1,11,472245.580627,472245.704818,472245.748814,met,0.001409
b2,L2,8,472247.580235,472247.675358,472247.715237,met,0.000821
b2,L1,12,472247.580627,472247.760744,472247.802028,met,0.003236
b2,L1,13,472249.580627,472249.726802,472249.770859,met,0.003425
b2,L2,9,472250.580235,472250.693634,472250.732987,met,0.000815
b2,L1,14,472251.580627,472251.742461,472251.783938,met,0.003229
b2,L2,10,472253.580235,472253.724014,472253.762753,met,0.001348
b2,L1,15,472253.580627,472253.727265,472253.767506,met,0.003193
b2,L1,16,472255.580627,472255.699788,472255.740167,met,0.002735
b2,L2,11,472256.580235,472256.657181,472256.698088,met,0.000898
b2,L1,17,472257.580627,472257.748502,472257.792455,met,0.003250
b2,L1,18,472259.580627,472259.658802,472259.701089,met,0.002178
b2,L2,12,472259.580235,472259.745017,472259.786009,met,0.001103
b2,L1,19,472261.580627,472261.791818,472261.832533,met,0.001410
b2,L2,13,472262.580235,472262.660163,472262.700271,met,0.000854
b2,L1,20,472263.580627,472263.789889,472263.831553,met,0.003226
b2,L2,14,472265.580235,472265.687455,472265.731304,met,0.000852
b2,L1,21,472265.580627,472265.687393,472265.731290,met,0.002098
b2,L1,22,472267.580627,472267.662862,472267.702448,met,0.001353
b2,L2,15,472268.580235,472268.692997,472268.737042,met,0.000850
b2,L1,23,472269.580627,472269.688209,472269.745913,met,0.003119
b2,L1,24,472271.580627,472271.656880,472271.708255,met,0.002588
b2,L2,16,472271.580235,472271.663465,472271.709592,met,0.000968
b2,L1,25,472273.580627,472273.720683,472273.762813,met,0.001517
b2,L1,26,472275.580627,472275.689250,472275.913925,met,0.168904
b2,L2,17,472274.580235,472274.722132,472275.914246,met,1.135759
b2,L1,27,472277.580627,472277.663316,472277.708430,met,0.001918
b2,L2,18,472277.580235,472277.663316,472277.708523,met,0.001232
