block_id,endpoint,tick,scheduled,start,end,outcome,secs
b2,L1,6,325041.505988,325041.637384,325041.688583,met,0.001904
b2,L1,7,325043.505988,325043.724937,325043.769141,met,0.003914
b2,L2,5,325044.506044,325044.725731,325044.768514,met,0.001437
b2,L1,8,325045.505988,325045.616378,325045.853223,met,0.193287
b2,L1,9,325047.505988,325047.568347,325047.614100,met,0.003502
b2,L2,6,325047.506044,325047.584997,325047.628481,met,0.001192
b2,L1,10,325049.505988,325049.569331,325049.613198,met,0.001005
b2,L2,7,325050.506044,325050.577738,325050.621591,met,0.001195
b2,L1,11,325051.505988,325051.693255,325051.735154,met,0.003731
b2,L1,12,325053.505988,325053.599013,325053.644873,met,0.003401
b2,L2,8,325053.506044,325053.644877,325053.694687,met,0.001243
b2,L1,13,325055.505988,325055.699917,325055.745143,met,0.003924
b2,L2,9,325056.506044,325056.673326,325056.714412,met,0.001254
b2,L1,14,325057.505988,325057.615801,325058.320404,missed,0.648586
b2,L1,15,325059.505988,325059.573140,325059.621612,met,0.002028
b2,L2,10,325059.506044,325059.573138,325059.621612,met,0.001318
b2,L1,16,325061.505988,325061.664870,325061.708523,met,0.003528
b2,L2,11,325062.506044,325062.631181,325062.674701,met,0.001260
b2,L1,17,325063.505988,325063.589440,325063.633513,met,0.003407
b2,L1,18,325065.505988,325065.632902,325065.682999,met,0.003592
b2,L2,12,325065.506044,325065.632902,325065.683000,met,0.004190
b2,L1,19,325067.505988,325067.651823,325067.695524,met,0.001854
b2,L2,13,325068.506044,325068.582604,325068.625526,met,0.001448
b2,L1,20,325069.505988,325069.576348,325069.621877,met,0.003349
b2,L1,21,325071.505988,325071.571460,325071.616540,met,0.003423
b2,L2,14,325071.506044,325071.584955,325071.629602,met,0.001247
b2,L1,22,325073.505988,325073.650643,325073.693368,met,0.002039
b2,L2,15,325074.506044,325074.717121,325074.760031,met,0.001210
b2,L1,23,325075.505988,325075.700189,325075.744595,met,0.001569
b2,L2,16,325077.506044,325077.567188,325077.610483,met,0.001494
b2,L1,24,325077.505988,325077.599082,325077.665876,met,0.022619
b2,L1,25,325079.505988,325079.686182,325079.745279,met,0.018205
b2,L2,17,325080.506044,325080.590172,325080.632595,met,0.001172
b2,L1,26,325081.505988,325081.586201,325081.628438,met,0.001313
b2,L2,18,325083.506044,325083.571184,325083.614426,met,0.001259
b2,L1,27,325083.505988,325083.602750,325083.664836,met,0.021849
b2,L1,28,325085.505988,325085.604526,325085.669993,met,0.024913
b2,L2,19,325086.506044,325086.619399,325086.666060,met,0.006406
b2,L1,29,325087.505988,325087.575149,325087.619060,met,0.003300
b2,L2,20,325089.506044,325089.572438,325089.614845,met,0.000893
b2,L1,30,325089.505988,325089.672510,325089.716416,met,0.003182
