resets_at_utc,host_tokens_until_max,min_pct,max_pct,delta_pct,pct_per_100M_tokens
2026-09-30T03:45Z,468638,0.0,0.0,0.0,
2026-09-30T03:46Z,203801,0.0,0.0,0.0,
2026-09-30T03:47Z,310468,0.0,0.0,0.0,
2026-09-30T03:48Z,109469,0.0,0.0,0.0,
2026-09-30T03:49Z,221532,0.0,0.0,0.0,
2026-09-30T03:50Z,346313,0.0,0.0,0.0,
2026-09-30T03:51Z,475239,0.0,0.0,0.0,
2026-09-30T03:52Z,262757,0.0,0.0,0.0,
2026-09-30T03:53Z,134107,0.0,0.0,0.0,
2026-09-30T03:54Z,271597,0.0,0.0,0.0,
2026-09-30T03:55Z,434167,0.0,0.0,0.0,
2026-09-30T03:56Z,446492,0.0,0.0,0.0,
2026-09-30T03:57Z,149849,0.0,0.0,0.0,
2026-09-30T03:58Z,486437,0.0,0.0,0.0,
2026-09-30T04:00Z,343398,0.0,0.0,0.0,
2026-09-30T04:01Z,172242,0.0,0.0,0.0,
2026-09-30T04:02Z,346026,0.0,0.0,0.0,
2026-09-30T04:03Z,538701,0.0,0.0,0.0,
2026-09-30T04:04Z,544314,0.0,0.0,0.0,
2026-09-30T04:05Z,550189,0.0,0.0,0.0,
2026-09-30T04:06Z,368151,0.0,0.0,0.0,
2026-09-30T04:07Z,184341,0.0,0.0,0.0,
2026-09-30T04:08Z,369122,0.0,0.0,0.0,
2026-09-30T04:09Z,369844,0.0,0.0,0.0,
2026-09-30T04:10Z,370369,0.0,0.0,0.0,
2026-09-30T04:11Z,561995,0.0,0.0,0.0,
2026-09-30T04:12Z,572948,0.0,0.0,0.0,
2026-09-30T04:13Z,386279,0.0,0.0,0.0,
2026-09-30T04:14Z,403909,0.0,0.0,0.0,
2026-09-30T04:15Z,203749,0.0,0.0,0.0,
2026-09-30T04:16Z,205761,0.0,0.0,0.0,
2026-09-30T04:17Z,1034398,0.0,0.0,0.0,
2026-09-30T04:18Z,837902,0.0,0.0,0.0,
2026-09-30T04:19Z,634132,0.0,0.0,0.0,
2026-09-30T04:20Z,860178,0.0,0.0,0.0,
2026-09-30T04:21Z,873991,0.0,0.0,0.0,
2026-09-30T04:22Z,1561640,0.0,0.0,0.0,
2026-09-30T04:23Z,30431,0.0,0.0,0.0,
2026-09-30T04:24Z,269036,0.0,0.0,0.0,
2026-09-30T04:25Z,319059,0.0,0.0,0.0,
2026-09-30T04:26Z,369490,0.0,0.0,0.0,
2026-09-30T04:27Z,531066,0.0,0.0,0.0,
2026-09-30T04:28Z,480038,0.0,0.0,0.0,
2026-09-30T04:29Z,598341,0.0,0.0,0.0,
2026-09-30T04:30Z,661165,0.0,0.0,0.0,
2026-09-30T04:31Z,639536,0.0,0.0,0.0,
2026-09-30T04:32Z,688486,0.0,0.0,0.0,
2026-09-30T04:33Z,737413,0.0,0.0,0.0,
2026-09-30T04:34Z,786460,0.0,0.0,0.0,
2026-09-30T04:35Z,621980,0.0,0.0,0.0,
2026-09-30T04:36Z,760089,0.0,0.0,0.0,
2026-09-30T04:37Z,915012,0.0,0.0,0.0,
2026-09-30T04:38Z,841182,0.0,0.0,0.0,
2026-09-30T04:39Z,750553,0.0,0.0,0.0,
2026-09-30T04:40Z,1043593,0.0,0.0,0.0,
2026-09-30T04:41Z,953142,0.0,0.0,0.0,
2026-09-30T04:42Z,847127,0.0,0.0,0.0,
2026-09-30T04:43Z,1023415,0.0,0.0,0.0,
2026-09-30T04:44Z,906732,0.0,0.0,0.0,
2026-09-30T04:45Z,934293,0.0,0.0,0.0,
2026-09-30T04:46Z,961799,0.0,0.0,0.0,
2026-09-30T04:47Z,822157,0.0,0.0,0.0,
2026-09-30T04:48Z,1183937,0.0,0.0,0.0,
2026-09-30T04:49Z,1044304,0.0,0.0,0.0,
2026-09-30T04:50Z,1435211,0.0,0.0,0.0,
2026-09-30T04:51Z,1108491,0.0,0.0,0.0,
2026-09-30T04:52Z,1520796,0.0,0.0,0.0,
2026-09-30T04:53Z,1172686,0.0,0.0,0.0,
2026-09-30T04:54Z,1200206,0.0,0.0,0.0,
2026-09-30T04:55Z,1227742,0.0,0.0,0.0,
2026-09-30T04:56Z,1255248,0.0,0.0,0.0,
2026-09-30T04:57Z,1066683,0.0,0.0,0.0,
2026-09-30T04:58Z,1305658,0.0,0.0,0.0,
2026-09-30T04:59Z,1109428,0.0,0.0,0.0,
2026-09-30T05:00Z,1127829,0.0,0.0,0.0,
2026-09-30T05:01Z,1147633,0.0,0.0,0.0,
2026-09-30T05:02Z,1401933,0.0,0.0,0.0,
2026-09-30T05:03Z,1188913,0.0,0.0,0.0,
2026-09-30T05:04Z,1452321,0.0,0.0,0.0,
2026-09-30T05:05Z,245081,0.0,0.0,0.0,
2026-09-30T05:06Z,261030,0.0,0.0,0.0,
2026-09-30T05:07Z,352821,0.0,0.0,0.0,
2026-09-30T05:08Z,464474,0.0,0.0,0.0,
2026-09-30T05:09Z,541127,0.0,0.0,0.0,
2026-09-30T05:10Z,617746,0.0,0.0,0.0,
2026-09-30T05:11Z,549335,0.0,0.0,0.0,
2026-09-30T05:12Z,598308,0.0,0.0,0.0,
2026-09-30T05:13Z,816825,0.0,0.0,0.0,
2026-09-30T05:14Z,259618,0.0,0.0,0.0,
2026-09-30T05:15Z,727018,0.0,0.0,0.0,
2026-09-30T05:16Z,776018,0.0,0.0,0.0,
2026-09-30T05:17Z,824972,0.0,0.0,0.0,
2026-09-30T05:18Z,873974,0.0,0.0,0.0,
2026-09-30T05:19Z,922978,0.0,0.0,0.0,
2026-09-30T05:20Z,1097307,0.0,0.0,0.0,
2026-09-30T05:21Z,1027094,0.0,0.0,0.0,
2026-09-30T05:22Z,938565,0.0,0.0,0.0,
2026-09-30T05:23Z,976823,0.0,0.0,0.0,
2026-09-30T05:24Z,866867,0.0,0.0,0.0,
2026-09-30T05:25Z,743082,0.0,0.0,0.0,
2026-09-30T05:26Z,302732,0.0,0.0,0.0,
2026-09-30T05:27Z,460202,0.0,0.0,0.0,
2026-09-30T05:28Z,940816,0.0,0.0,0.0,
2026-09-30T05:29Z,642680,0.0,0.0,0.0,
2026-09-30T05:31Z,820223,0.0,0.0,0.0,
2026-09-30T05:32Z,1009972,0.0,0.0,0.0,
